Parcel name,Date of sampling,Latitude,Longitude,Farm,ownership,number of all plants,number of vascular plants_10 m2,number of cryptogams_10 m2,number of bryophytes_10 m2,number of lichens_10 m2,Dung/Excrement sample,species number in D+E,count of seedlings per 10 g,Elevation,Aspect,Slope,Microrelief,Soil depth,Vegetation hight_mean,Vegetation hight_max,Cover of herb layaer (%),Cover of cryptogam layer (%),Bare soil cover (%),Excrements cover (%),Animal dung cover (%),Ant hills cover (%),Ant hills hight (cm),Molehills cover (%),Litter cover (%),Dead wood cover (%),Stones and rocks cover (%),Gravel cover (%),Stone and gravel (%),subsidies (yes-no),habitat,comment_habitat,"Mowing (N no, H hand, M mowing machine, T tractor)",Mowing frequency per year,Date of the first cut,"Grazing season (No, A, SA, W=whole season)","Grazing animal numbers (C cow, S sheep, G goar, H horse)",Grazer_type,Cow_n,Sheep_n,Goat_n,Horse_n,Cow grazing,Sheep grazing,Goat grazing,Horse grazing,"Livestock units (cow and horse: 1, sheep and goat: 0.2)","Duration of grazing in weeks (S-1, A-3, W-10 and communal pasture 15)",Grazing intensity A - recent (number of animals x number of weeks),"Grazing type category: fencing, herding, free grazing (categories: F/R - 1, H - 2, F - 3)",Years with applied grazing,Comment to Years with applied grazing,"Years with applied grazing (CATEGORIES: 1: up to 10, 2: 10-30, 3: more than 30)",Grazing intensity B - cummulative (livestock unit x number of weeks) x number of years category x grazing type category)/100,Manuring frequency,Cow dung applied,Last ploughing (years ago),Crops planted,"Cleaning (regular, irregular, no)",Removing shrubs and trees,Removing litter,Removing moss,Leveling anthills,Leveling molehills,Cleaning by burning,"Corralling (1, 0)",Management stability (since how many years it is the same),pH/KCl,Cox (%),humus (%),Ptot (%),Ntot (%),Ca (tot) mg/kg,Mg  (tot) mg/kg,K  (tot) mg/kg,"Ca (accessible, Mehlich III) mg/kg","Mg (accessible, Mehlich III) mg/kg","K (accessible, Mehlich III) mg/kg","P (accessible, Mehlich III) mg/kg",Cox/N ratio,Biomass dry weight (g),N (%)_Biomass,C (%)_Biomass
Viorel 1,31.5.22,46.884361,22.649222,V,private,49,47,2,2,0,c,7,21,655,85,5,3,14.2,3.2,21,65,20,25,0.5,0,0,0,0,2,0,0,0,0,yes,pasture,,no,0,no,W,C5,cow,5,0,0,0,1,0,0,0,5,6,30,3,30,,2,1.8,0,0,30,alfalfa,regular,yes,no,yes,yes,yes,yes,1,30,4.87,3.2,5.52,0.076817531,0.540672305,4010,2184,11631,1421,216.8,98.2,9.13,5.918557268,4.736,1.669494867,41.39900208
Viorel 2,31.5.22,46.884444,22.647972,V,private,92,82,10,10,0,c,3,18,678,93,17,6,13.2,5.8,31,70,54,10,2,0,0,0,0,2,0,0,0,0,yes,pasture,,no,0,no,W,C5,cow,5,0,0,0,1,0,0,0,5,6,30,3,17,,2,1.8,0,0,30,"potato, rye",regular,yes,yes,yes,yes,yes,yes,0,25,4.78,3.26,5.63,0.057967321,0.520166934,2927,2425,16441,1244.6,254.7,132.3,2.07,6.267218828,10.746,1.692042828,42.66306305
Viorel 3,31.5.22,46.884194,22.647639,V,private,73,66,7,7,0,n,,,686,102,22,5,15,36.4,80,97,25,0,0,0,0.1,3,0,50,0,0,0,0,yes,meadow,,T,1,June,A,C5,cow,5,0,0,0,1,0,0,0,5,3,15,1,50,,3,0.45,0.3,1,no,no,regular,yes,yes,yes,yes,yes,yes,0,50,4.39,3.99,6.88,0.0542632,0.553176033,2822,1834,13932,1202.3,248.4,105,1.55,7.212893841,16.146,2.054766178,41.47246933
Viorel 4,31.5.22,46.883417,22.647361,V,private,67,63,4,4,0,d,1,1,688,98,11,5,19.8,54,118,100,2,0,0,8,0.2,5,0,0,0,0,0,0,yes,meadow,,T,2,June,A,C5,cow,5,0,0,0,1,0,0,0,5,3,15,1,5,,1,0.15,1,1,5,"potato, rye",no,no,no,no,no,no,yes,0,5,6.07,5.79,9.99,0.085151347,0.856070501,5638,15212,22614,3092.8,838.9,348.8,4.09,6.763461648,35.866,1.269277215,41.84183121
Viorel 5,3.6.22,46.885528,22.646694,V,private,48,43,5,5,0,d,5,9,707,70,1,5,14.6,49.8,108,99,20,2,0.5,1,0.5,5,0,0.5,0,0,0,0,yes,meadow,,T,3,June,A,C5,cow,5,0,0,0,1,0,0,0,5,3,15,1,5,,1,0.15,0.3,1,5,alfalfa,regular,yes,no,yes,yes,yes,yes,1,5,6.96,7.74,13.34,0.110594041,1.091869589,11264,8468,19239,5329.2,1348.2,683.7,4,7.088758656,41.406,1.618956208,43.23268127
Viorel 6,3.6.22,46.88705,22.64752,V,private,67,63,4,4,0,s,0,0,707,110,17,2,11,19.8,72,83,30,3,0.001,0,0,0,0,2,0,0,0,0,yes,meadow,,T,1,June,A,C5,cow,5,0,0,0,1,0,0,0,5,3,15,1,8,,1,0.15,0,0,20,"corn, potatoes",regular,yes,yes,yes,yes,yes,yes,1,5,6.47,7.18,12.38,0.069155944,0.951222919,8821,3743,14713,4903.2,1329.2,283.6,2.1,7.548178094,25.966,1.645053267,44.38463974
Viorel 7,4.6.22,46.88709,22.64692,V,private,51,49,2,2,0,n,,,712,118,8,3,17.6,26,65,80,0.5,22,0,0,0,0,0,1,0,0,1,1,yes,pasture,,no,0,no,W,C5,cow,5,0,0,0,1,0,0,0,5,10,50,3,50,,3,4.5,0,0,no,no,regular,yes,no,yes,yes,yes,yes,0,5,5.1,7.01,12.08,0.077324719,0.931134683,4373,2331,7308,3884.9,247.8,142.8,3.66,7.52844903,21.356,0,0
Viorel 8,3.6.22,46.88902,22.64819,V,private,82,74,8,8,0,n,,,682,85,7,22,14.6,29,114,100,8,0,0,0,2,22,0,80,0,0,0,0,no,pasture,,no,0,no,W,C5,cow,5,0,0,0,1,0,0,0,5,6,30,3,50,,3,2.7,0,0,no,no,regular,yes,yes,yes,yes,yes,yes,0,28,5.28,5.73,9.89,0.065763031,0.818283697,5782,2798,8959,3488.3,239.6,105.9,2.2,7.002461399,25.026,1.654106379,42.51712036
Viorel 9,4.6.22,46.88712,22.64669,C,communal,48,40,8,7,1,s,2,13,712,135,4,3,13.8,7.8,35,85,70,0.3,0.1,0,0,0,0,1,0,0.001,1,1.001,yes,pasture,,no,0,no,W,"S250-350, G2",sheep_goat,0,250,2,0,0,1,1,0,65,15,975,2,50,,3,58.5,0,0,no,no,irregular,yes,yes,yes,yes,yes,no,0,50,4.78,6.61,11.39,0.08292935,0.972786407,5562,3537,11247,3629,617.1,140.5,2.1,6.794914024,11.656,1.498944998,43.52755356
Viorel 10,3.6.22,46.88747,22.64928,V,private,78,72,6,5,1,n,,,661,88,16,3,13.8,18.4,76,90,60,0,0.1,0,0,0,0,1,0,2,5,7,yes,meadow,,T,1,July-August,A,C5,cow,5,0,0,0,1,0,0,0,5,3,15,1,50,,3,0.45,0,0,no,no,regular,yes,yes,yes,yes,yes,yes,0,50,7.07,7.17,12.36,0.077296356,0.972140177,17816,8119,15150,8144.9,977.5,306.8,1.47,7.375479553,15.626,1.784804821,43.30753326
Viorel 13,3.6.22,46.886056,22.647,V,private,72,64,8,8,0,s,0,0,704,90,5,1,18.2,35.8,80,82,20,5,0.001,0,0,0,0,3,0,0,0,0,yes,meadow,,T,1,June,A,C5,cow,5,0,0,0,1,0,0,0,5,3,15,1,10,,2,0.3,0.5,1,10,"potato, cereals",regular,yes,no,no,yes,yes,no,0,10,6.1,6.89,11.87,0.101794885,1.028506322,7776,5494,16551,4964.7,1018.4,381.2,2.42,6.69903515,23.116,1.916124344,41.71434784
Ileana 1,1.6.22,46.886,22.630833,I,private,76,75,1,1,0,d,5,15,687,60,9,5,13.8,13.4,N/A,82,1,8,0,8,0,0,0,2,0.01,0,0,0,yes,meadow,,T,1,June,A,C5,cow,5,0,0,0,1,0,0,0,5,3,15,1,25,,2,0.3,1,1,25,"potato, rey, wheat",regular,yes,yes,no,yes,yes,yes,0,25,4.86,5.14,8.87,0.06214471,0.710739918,4704,2864,10322,1860.9,164.1,120.1,2.38,7.231899978,14.906,2.064169884,42.49417114
Ileana 2,1.6.22,46.886472,22.630972,I,private,74,64,10,10,0,c,8,9,674,78,14,9,25,12.6,60,75,15,5,2.5,0,0.2,1,0,40,0,0,0,0,yes,pasture,,no,0,no,W,C5,cow,5,0,0,0,1,0,0,0,5,10,50,3,15,,2,3,0,0,no,no,regular,yes,yes,no,yes,yes,yes,0,15,4.37,3.85,6.63,0.054540202,0.576769034,3548,2470,8408,1178.2,88.6,79.4,2.25,6.675115643,16.686,1.417037487,42.36114883
Ileana 3,1.6.22,46.886806,22.631278,I,private,92,84,8,8,0,n,,,668,93,14,5,28.6,24.6,N/A,95,10,3,0,0,0.5,2,0,10,0.1,0,0,0,yes,meadow,,"T, M",1,July-August,A,C5,cow,5,0,0,0,1,0,0,0,5,3,15,1,25,,2,0.3,0,0,25,"potato, cereals",regular,yes,yes,no,yes,yes,yes,0,25,4.48,4.31,7.43,0.062347244,0.595261604,3952,2348,9166,1768.2,142,131.7,3.79,7.240514035,21.056,1.940924287,42.91424942
Ileana 4,1.6.22,46.886889,22.631722,I,private,54,50,4,4,0,c,3,3,660,84,19,19,11.4,21,86,85,10,0.5,0.5,0,7,19,0,70,0,0,10,10,yes,pasture,,no,0,no,W,C5,cow,5,0,0,0,1,0,0,0,5,10,50,3,6,,1,1.5,0,0,no,no,regular,yes,yes,no,yes,yes,yes,0,6,3.94,4.27,7.37,0.05777804,0.575458958,2882,1278,7166,730.6,101.9,126.9,6.15,7.420164269,19.806,1.656053424,43.02046967
Ileana 5,1.6.22,46.886333,22.630139,I,private,79,69,10,10,0,d,3,6,703,87,8,8,12.2,8.4,61,80,35,4,0.5,0,0.5,2,0,1,0,0,0.1,0.1,yes,meadow,,T,1,July-August,A,C5,cow,5,0,0,0,1,0,0,0,5,3,15,1,25,,2,0.3,0,0,no,no,regular,yes,yes,no,yes,yes,yes,0,25,4.15,5.26,9.08,0.043739782,0.613002075,4480,2150,9210,2550.2,155.3,125.8,3,8.580721367,17.616,1.946352482,43.19361496
Ileana 6,2.6.2022,46.885639,22.633,I,private,78,68,10,9,1,d,5,6,698,320,5,8,12.6,18.6,64,98,40,1,0,1,0,0,0.5,0.1,0,1,0,1,yes,meadow,,T,1,June,A,C5,cow,5,0,0,0,1,0,0,0,5,3,15,1,5,,1,0.15,0.5,1,5,potato,regular,yes,yes,no,yes,yes,no,0,5,5.38,7,12.07,0.071854133,0.920647405,8506,3350,12306,4749.4,191.5,168.9,2.73,7.603345168,21.646,1.802694201,43.04387665
Ileana 7,2.6.2022,46.885222,22.631583,I,private,87,75,12,12,0,c,2,2,698,308,6,25,15.6,7.4,42,78,15,3,4,0,2.5,25,0,0,0,0,0,0,yes,pasture,,no,0,no,W,C5,cow,5,0,0,0,1,0,0,0,5,10,50,3,10,,2,3,0,0,no,no,regular,yes,yes,no,yes,yes,yes,0,10,4.87,5.95,10.25,0.056579239,0.75421563,6532,3171,10299,4738.8,191.1,194.8,2.59,7.888990577,14.216,2.141325951,40.45442963
Ileana 8,2.6.2022,46.888139,22.632,C,communal,45,37,8,7,1,s,2,6,698,185,15,10,9.6,3.8,44,72,60,1.5,2,0,0,0,0,0,0,4,0,4,yes,pasture,,no,0,no,W,"S250-350, G2",sheep_goat,0,250,2,0,0,1,1,0,65,15,975,2,50,,3,58.5,0,0,no,no,irregular,yes,no,no,no,no,yes,0,50,4.79,4.81,8.3,0.042837254,0.643723568,6563,2367,7425,4446.5,182.1,149.2,2.23,7.472151458,10.256,1.785666227,43.61728287
Sabina 1,2.6.2022,46.88775,22.630861,S,private,70,66,4,4,0,s,1,5,681,195,15,5,11.8,21.6,73,92,35,3,0,0,0.2,3,0,1,0,0,0,0,yes,meadow,,M,1,July-August,A,S70+G8,sheep_goat,0,70,8,0,0,1,1,0,15.6,3,46.8,1,5,,1,0.468,0,0,50,"potato, cereals",irregular,yes,no,no,yes,yes,no,0,4,4.9,5.55,9.57,0.054512237,0.696530766,6821,2981,9661,4122.5,252.6,139.7,2.77,7.968061533,29.246,1.991839886,42.90048218
Sabina 3,23.6.2022,46.885972,22.624556,S,private,54,51,3,3,0,c,6,22,688,135,20,7,24.6,20.6,N/A,80,25,1,0.7,0,1,2,0,8,0,0,0,0,yes,pasture,,no,0,no,W,C7+S70+G8,cow_sheep_goat,7,70,8,0,1,1,1,0,22.6,10,226,3,50,,3,20.34,0,0,no,no,regular,yes,no,no,yes,yes,no,0,50,4.07,3.79,6.53,0.069648101,0.565052461,3827,2064,10289,1191.4,128.8,116.4,2.99,6.707341816,29.126,1.155904412,43.53530121
Sabina 6,23.6.2022,46.884222,22.62475,S,private,57,48,9,9,0,n,,,678,138,20,17,47.8,22.6,130,85,13,1,0,0,1,2,0,17,0,2,0,2,yes,meadow,,T,1,July-August,A,S70+G8,sheep_goat,0,70,8,0,0,1,1,0,15.6,3,46.8,1,50,,3,1.404,0,0,no,no,regular,yes,no,no,yes,yes,no,0,50,4.01,3.96,6.83,0.104105914,0.528755223,4677,2769,10448,1327.3,71.6,101.6,3.74,7.489287722,32.086,1.671005249,42.372509
Sabina 8,24.6.2022,46.89075,22.639,S,private,59,56,3,3,0,c,3,17,665,123,19,10,24.4,29.2,63,82,2,4,0,0,1,3,0,1,0,0,0,0,N/A,meadow,,M,2,July-August,SA,S70+G8,sheep_goat,0,70,8,0,0,1,1,0,15.6,4,62.4,3,7,,1,1.872,0,0,35,cereals,regular,yes,no,no,yes,yes,no,1,7,5.68,6.28,10.83,0.054381992,0.799467317,6477,3442,9399,3049.2,727.4,239.3,2.32,7.855230438,24.636,1.232636809,43.55843735
Sabina 9,24.6.2022,46.89075,22.638639,S,private,52,50,2,2,0,n,,,668,125,16,3,31.4,20.8,77,75,40,1,0,0,0,0,0,0,0,0,1,1,N/A,meadow,,M,1,June,A,S70+G8,sheep_goat,0,70,8,0,0,1,1,0,15.6,3,46.8,1,50,,3,1.404,0.3,1,35,cereals,no,no,no,no,no,no,no,0,20,6.85,6.94,11.97,0.06940361,0.852465968,23201,14632,9703,4622.3,1453.1,236.5,1.92,8.141087456,27.706,1.008366704,43.5751152
Sabina 10,24.6.2022,46.890139,22.637694,S,private,48,46,2,1,1,c,6,9,672,126,20,3,22.6,19.4,96,80,50,1,0.6,0,0.01,1,0,5,0,0,0,0,N/A,meadow,,M,1,June,A,C7,cow,7,0,0,0,1,0,0,0,7,3,21,1,50,,3,0.63,0.3,1,no,no,regular,yes,no,no,no,no,no,0,50,5.11,5,8.62,0.05389811,0.624470206,6618,2489,8893,3299,255.4,157.4,2.14,8.006787115,17.846,2.432519436,41.02178955
Leo 1,26.6.22,46.900861,22.669528,L,private,78,72,6,6,0,n,,,726,45,19,5,36.4,15.6,79,90,30,1,0,0,0,0,0,0,0,0,0,0,yes,meadow,,T,1,July-August,SA,"S400, G40",sheep_goat,0,400,40,0,0,1,1,0,88,4,352,2,40,,3,21.12,0.3,1,40,"potato, cereals",regular,yes,no,no,yes,yes,no,0,40,5.9,7.18,12.38,0.11430581,1.033658685,9637,5675,11134,4725,1530.5,203.6,2.14,6.946200041,28.126,1.696355581,43.27773666
Leo 2,27.6.22,46.900694,22.66925,C,communal,86,70,16,15,1,s,3,7,733,45,17,16,20.8,16.8,50,55,65,5,1,0,3,16,0,0,0.001,0,0,0,yes,pasture,,no,0,no,W,"S400, G40",sheep_goat,0,400,40,0,0,1,1,0,88,10,880,2,50,,3,52.8,0,0,50,cereals,irregular,yes,no,no,no,no,no,0,50,6.23,7.1,12.24,0.084814854,0.851847632,8102,2771,11641,4534.1,1443.4,166.6,1.3,8.334823896,5.396,1.23365593,44.05151749
Leo 3,27.6.22,46.903056,22.668111,L,private,66,61,5,5,0,d,7,10,710,63,15,4,11.6,24.6,101,75,7,1,0,20,0,0,0,0,0,0,1,1,yes,meadow,,M,1,July-August,SA,S200+G40,sheep_goat,0,200,40,0,0,1,1,0,48,4,192,2,40,,3,11.52,1,1,no,no,regular,yes,no,no,yes,yes,no,0,40,7.2,10.07,17.35,0.167694025,1.253944933,34286,23565,9531,5907.3,1674.4,235.2,5.7,8.030655683,14.956,1.466157436,42.53195953
Leo 4,27.6.22,46.899528,22.664139,L,private,75,63,12,12,0,c,8,49,720,25,20,7,17,11,66,68,15,20,1,0,0,0,0,2,0,1,1,2,yes,pasture,,no,0,no,W,"S200+G40 in spring and autumn, C21 in summer",cow_sheep_goat,21,200,40,0,1,1,1,0,69,10,690,3,10,,2,41.4,0,0,no,no,irregular,yes,no,no,yes,yes,no,0,10,4.88,4.96,8.56,0.063388649,0.67168587,5379,1471,9649,2667.4,366.8,103.6,1.78,7.384404261,4.526,1.597789526,39.81502533
Leo 5,26.6.22,46.897417,22.659194,L,private,87,80,7,7,0,d+s,9,41,737,46,15,6,46,19,74,87,22,5,0.3,1,0,0,0,0,0,0,0,0,yes,meadow/pasture,,T,0.3,July-August,"A, W","C1, S5",cow_sheep,1,5,0,0,1,1,0,0,2,5,10,3,5,,1,0.3,0,0,5,"potato, beans",regular,yes,no,no,yes,yes,no,0,2,6,9.35,16.11,0.115710023,1.293448981,6969,1611,9078,5937.9,1202.4,266.9,4.42,7.228735065,14.606,1.578051805,41.70065689
Leo 6,28.6.22,46.897028,22.657694,L,private,77,72,5,5,0,d+s,0,0,754,122,4,4,10.6,15.2,78,90,70,1,0.1,0,0,0,0,1,0,0,1,1,yes,meadow,,M,1,July-August,SA,"C21, S400, G40",cow_sheep_goat,21,400,40,0,1,1,1,0,109,4,436,2,20,,2,17.44,0.5,1,25,"potato, cereals",regular,yes,yes,no,yes,yes,no,0,25,6.77,8.99,15.49,0.088943377,1.102366871,17358,4971,8547,4996.1,1446.3,249.3,2.51,8.155179766,10.646,1.424955487,42.43119812
Leo 7,28.6.22,46.903944,22.658806,C,communal,38,30,8,7,1,s,3,8,666,210,21,7,15.8,7.8,57,55,40,3,0.01,0,0,0,0,10,3,1,1,2,no,pasture,,no,0,no,W,"S400, G40",sheep_goat,0,400,40,0,0,1,1,0,88,10,880,2,30,,2,35.2,0,0,no,no,no,no,no,no,no,no,no,0,30,6.38,5.12,8.83,0.049852518,0.576735366,10552,2561,4614,3784.4,1054.1,120.7,2.4,8.877555125,7.756,1.102858067,41.89760971
Leo 8,28.6.22,46.896667,22.658417,L,private,66,61,5,5,0,s,0,0,746,107,13,6,14.2,13.6,99,88,20,10,0.01,0,0,0,0,1,0,0.5,1,1.5,yes,meadow,,M,1,July-August,SA,"C21, S400, G40",cow_sheep_goat,21,400,40,0,1,1,1,0,109,4,436,2,25,,2,17.44,0.5,1,no,no,regular,yes,yes,no,yes,yes,no,0,50,4.98,7.42,12.8,0.061400549,0.867890842,6604,953,8884,3357.4,853.3,126.9,2.38,8.549462261,25.776,1.988485336,43.30632401
Leo 9,28.6.22,46.897139,22.662472,C,communal,85,60,25,23,2,s,5,23,776,355,7,19,5.8,1.7,29,45,65,7,0.5,0,0,0,0,0,0,20,20,40,yes,pasture,,no,0,no,W,"S400, G40",sheep_goat,0,400,40,0,0,1,1,0,88,10,880,2,50,,3,52.8,0,0,no,no,no,no,no,no,no,no,no,0,50,7.16,21.47,37.01,0.264952676,1.718582497,56521,30506,4774,8467.1,2264.3,139.1,7.93,12.49285387,2.366,1.392542958,44.21384811
Leo 10,27.6.22,46.898333,22.664556,L,private,65,57,8,8,0,s,3,4,766,25,15,10,39.6,13.8,55,90,50,3,0.5,0,2,10,0,0,0,0,0,0,yes,pasture,"used to be meadow, legacy effcets",no,0,no,W,"S400, G40",sheep_goat,0,400,40,0,0,1,1,0,88,10,880,2,33,3 (W)+30 (SA),2,35.2,0,0,50,cereals,irregular,yes,no,no,no,no,no,0,3,4.78,4.19,7.22,0.055073646,0.553716916,4739,736,8352,1945.6,437,112.8,1.89,7.567043511,5.376,1.530222058,41.82923889
Nelu 1,24.6.22,46.887167,22.651989,N,private,49,47,2,2,0,d,3,4,657,270,10,7,25.6,48.8,106,93,3,5,0,0,0,0,0,0,0,0,10,10,yes,meadow,,"M, T",2,July-August,SA,"C3, S12, G2, H2",cow_sheep_goat_horse,3,12,2,2,1,1,1,1,7.8,4,31.2,1,25,,2,0.624,1,1,20,alfalfa,regular,yes,no,no,yes,yes,no,0,20,5.66,4.85,8.36,0.084586739,0.673455523,5526,7113,17537,2662.8,570.5,138.9,6.55,7.20166341,55.786,1.549180031,42.06691742
Nelu 2,25.6.22,46.88728,22.651611,N,private,58,53,5,5,0,c,4,6,653,264,14,5,25.6,49.4,N/A,70,15,20,1,0,0,0,0,0,0,0,0,0,yes,meadow,,"M, T",2,July-August,SA,"C3, S12, G2, H2",cow_sheep_goat_horse,3,12,2,2,1,1,1,1,7.8,4,31.2,1,30,,2,0.624,1,1,30,alfalfa,regular,yes,no,no,yes,yes,no,0,30,6.76,6.93,11.95,0.087438294,0.926767146,12346,7126,18072,4619.6,1288.6,212.9,6.64,7.47760646,33.176,1.590425253,41.75545502
Nelu 3,25.6.22,46.887028,22.6515,N,private,74,65,9,9,0,n,,,650,266,23,3,22.4,25.8,124,75,10,25,0,0,0,0,0,0,0,0,0,0,yes,meadow,,M,1,July-August,SA,"C3, S12, G2, H2",cow_sheep_goat_horse,3,12,2,2,1,1,1,1,7.8,4,31.2,1,50,,3,0.936,0.5,1,no,no,regular,yes,no,no,yes,yes,no,0,50,5.34,5.2,8.96,0.05706455,0.650900661,5484,5087,20871,3086.4,856.2,154.1,1.66,7.98893028,31.526,1.58942318,42.08242798
Nelu 4,25.6.22,46.886639,22.651333,N,private,72,66,6,6,0,s,0,0,644,262,23,5,21.6,41.2,100,80,2,20,0.001,0,0,0,0,0,0,0,0,0,yes,meadow,,M,1,July-August,SA,"C3, S12, G2, H2",cow_sheep_goat_horse,3,12,2,2,1,1,1,1,7.8,4,31.2,1,50,,3,0.936,0.5,1,no,no,irregular,yes,no,no,yes,yes,no,0,50,4.63,4.49,7.75,0.042102811,0.596649615,3712,13449,21513,1954.1,562.1,148.7,1.62,7.525354721,20.446,1.590963602,42.98601913
Nelu 5,25.6.22,46.886583,22.65175,N,private,62,62,0,0,0,c,3,30,655,263,15,5,29.4,75.2,150,100,0,5,0,20,0,0,0,0,0,0,0,0,yes,meadow,,"M, T",2,July-August,SA,"C3, S12, G2, H2",cow_sheep_goat_horse,3,12,2,2,1,1,1,1,7.8,4,31.2,3,30,,2,1.872,1,1,30,"potato, cereals",regular,yes,no,no,yes,yes,no,0,30,5.48,5.52,9.52,0.063718236,0.704131749,5006,13448,21179,2909.1,557.4,258.3,5.34,7.839441991,84.326,1.868011713,40.83176804
Nelu 6,26.6.22,46.888306,22.658194,N,private,65,60,5,4,1,c,5,10,668,102,26,5,22.4,26.2,84,65,22,10,0.1,0,0,0,0,10,0,0,0,0,yes,meadow/pasture,,H,1,July-August,"A, W","C3, S60,G3",cow_sheep_goat,3,60,3,0,1,1,1,0,15.6,3,46.8,3,53,3 (W) + 50 (A),2,2.808,0,0,no,no,regular,yes,no,no,yes,yes,yes,0,3,5.37,8.1,13.96,0.049508057,0.778709618,6701,1239,11222,3938.4,322.3,197,5.69,10.4018235,15.266,1.572639108,44.42648697
Nelu 7,26.6.22,46.887694,22.658111,N,private,68,62,6,6,0,n,,,661,135,27,7,27.4,33,128,70,45,20,0,0,0.1,1,0,0,0,0,0,0,yes,meadow,,M,1,July-August,SA,"C3, G3",cow_goat,3,0,3,0,1,0,1,0,3.6,4,14.4,1,50,,3,0.432,0,0,no,no,regular,yes,no,no,yes,yes,no,0,50,5.08,5.54,9.55,0.051253819,0.612969723,5622,1467,11401,3033.6,379.4,183.9,4.77,9.037966789,44.716,1.73218143,42.90167999
Brade 1,23.6.22,46.883972,22.620194,O,private,36,34,2,2,0,c,17,183,695,337,1,6,21.2,42.2,100,95,1,30,1,0,0.1,1,0,0,0,0,0,0,yes,meadow,,"M, T",1,July-August,SA,"C7, S300, G80",cow_sheep_goat,7,300,80,0,1,1,1,0,83,4,332,2,7,,1,6.64,0,0,50,"potato, cereals",regular,yes,no,no,yes,yes,no,1,15,4.29,5.27,9.08,0.055819409,0.678154608,2547,198,10390,1046.8,210.1,371.8,11.3,7.77108927,41.506,1.460290432,42.83592224
Brade 2,23.6.22,46.883361,22.620306,O,private,59,52,7,7,0,c+s,3,5,695,146,2,12,32,29.2,76,80,10,5,0.3,0,5,12,0,5,0,0,0,0,no,meadow,,H,0.3,July-August,A,"C7, S300, G80",cow_sheep_goat,7,300,80,0,1,1,1,0,83,3,249,2,30,,2,9.96,0,0,no,no,no,no,no,no,no,no,no,0,30,3.89,6.67,11.49,0.048156188,0.740854467,1992,203,10365,704.3,80.4,165.4,4.96,9.003117749,35.106,1.391863704,43.18836594
